0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32
1,4,4,6,5,6,5,7,7,6,5,3,4,7,6,3,1,1,1,4,2,4,4,6,6,6,6,7,6,7,4,7,6
2,7,7,6,7,6,5,4,1,7,7,5,6,7,7,5,5,4,7,7,7,7,7,6,7,7,6,2,7,1,7,7,7
3,5,5,6,5,5,3,4,2,3,3,3,5,6,6,3,3,5,6,4,6,5,3,5,5,5,7,1,5,6,6,6,6
4,2,2,5,5,5,5,4,5,3,2,7,2,5,5,3,3,2,5,5,7,7,5,4,5,5,5,7,5,5,7,7,7
5,6,5,6,5,5,5,5,5,4,5,4,4,5,4,4,4,4,5,5,5,6,5,5,5,4,5,3,5,3,5,5,5
6,6,5,5,5,5,5,4,4,4,3,5,4,6,4,4,6,6,6,6,6,6,5,5,5,5,5,5,6,2,6,7,5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,3,7,7,7,7,7,5,7,7,3,7,7,7,7,7
8,6,5,6,6,6,6,6,7,6,6,7,7,5,5,3,6,5,5,6,7,6,7,6,4,6,6,7,7,7,7,7,7
9,6,5,6,5,5,3,5,5,2,2,6,5,5,2,1,5,3,5,5,7,3,5,5,7,3,6,1,5,5,7,7,7
10,7,7,7,6,7,5,7,5,7,5,6,6,5,5,7,5,5,5,3,7,6,5,6,3,7,7,5,7,5,7,7,7
11,6,6,6,4,6,3,5,4,5,5,3,6,7,2,3,3,3,7,5,7,3,5,5,5,6,6,2,6,5,7,7,6
12,7,7,7,6,6,6,5,7,5,5,6,4,7,6,3,6,5,7,5,4,6,5,5,5,7,6,5,7,6,3,7,7
13,5,5,5,5,5,5,6,6,5,5,5,6,6,5,5,5,4,6,5,6,5,5,5,5,5,5,6,5,5,5,6,5
14,7,7,7,7,7,7,4,3,7,7,7,7,7,6,7,7,7,4,4,7,7,7,7,7,7,7,7,7,6,7,7,7
15,7,6,7,6,6,7,7,7,7,6,7,6,5,5,4,4,5,4,5,7,7,7,7,6,7,7,5,7,6,6,7,7
16,6,6,6,5,6,4,5,4,5,5,7,4,7,4,7,5,5,6,5,7,5,5,7,7,7,7,5,6,6,6,6,6
17,7,5,7,5,5,7,5,4,5,6,6,6,6,4,4,4,5,4,4,7,5,5,6,5,7,6,3,7,3,5,7,5
18,5,4,5,5,5,4,5,3,4,3,5,5,5,2,5,3,4,6,5,6,5,4,3,3,5,5,1,5,5,5,6,5
19,7,5,7,5,5,3,2,1,4,3,4,6,1,1,1,1,1,3,3,7,4,2,5,3,5,3,1,5,5,5,4,5
20,6,6,6,5,5,4,6,2,4,6,4,2,7,3,3,4,6,7,5,7,6,5,3,1,5,6,3,6,5,7,7,6
21,6,6,7,6,7,1,4,4,5,5,6,5,7,2,5,2,7,6,7,7,3,2,5,3,5,6,1,7,5,7,7,7
22,6,5,6,6,7,5,6,6,6,5,6,7,7,6,5,5,5,5,5,6,6,6,6,6,6,6,7,7,6,6,6,6
23,5,5,6,5,5,5,5,5,5,3,5,4,4,4,3,4,4,3,6,6,5,5,7,5,4,5,7,5,5,5,6,5
24,3,5,5,5,5,4,5,5,4,4,5,7,6,5,4,4,4,6,5,7,5,3,3,2,5,5,5,6,5,6,6,6
25,7,7,7,5,6,3,5,3,5,5,5,4,5,4,5,3,4,5,7,7,5,4,7,3,6,5,3,7,5,5,7,4
26,6,7,7,3,5,1,1,1,3,3,2,4,5,3,4,3,1,2,3,7,5,2,4,3,5,7,1,5,1,1,2,4
27,4,4,4,4,3,3,4,4,3,3,5,1,7,4,7,5,5,5,2,7,5,4,2,2,4,4,4,4,5,5,6,7
28,5,3,5,7,5,3,4,4,1,3,5,2,5,3,1,3,2,7,7,7,7,6,5,2,2,5,1,6,5,7,7,6
29,5,5,5,5,5,5,5,4,5,5,5,4,5,4,3,4,4,5,6,6,5,4,5,5,5,5,1,6,5,5,5,6
30,6,6,6,7,6,6,6,5,5,6,7,5,6,5,6,5,5,6,6,7,6,5,6,6,6,7,6,7,5,7,7,7
31,5,5,5,6,5,5,4,3,3,5,5,5,4,2,5,5,3,5,6,5,4,2,5,5,5,5,6,6,6,6,5,5
32,5,5,5,5,5,4,5,4,7,5,7,4,7,4,6,7,5,5,6,7,6,7,3,4,5,6,4,5,5,7,7,7
33,5,5,6,5,5,4,5,2,5,4,5,5,5,5,4,4,5,7,4,5,4,5,5,4,5,5,1,5,4,5,6,5
34,7,5,7,3,5,7,4,2,1,1,7,5,5,1,2,6,6,7,4,5,7,6,2,7,7,6,1,7,7,7,7,7
35,5,5,6,6,5,6,6,6,3,5,6,6,6,5,5,5,5,4,5,6,6,6,5,5,6,5,7,6,6,5,5,6
36,6,6,7,7,7,6,6,5,6,6,6,5,7,4,5,4,3,4,6,6,6,7,7,6,5,5,7,7,6,7,7,7
37,4,4,5,4,5,4,4,4,4,4,5,4,5,4,4,5,4,5,5,5,5,5,5,4,5,4,5,5,4,6,6,5
38,5,5,5,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,6,5
39,6,5,5,5,5,3,3,6,3,4,4,3,4,3,3,4,3,3,6,7,5,4,4,5,6,6,1,7,5,7,7,7
40,3,5,7,5,5,3,5,4,5,2,5,4,6,5,4,3,5,3,5,6,3,5,5,5,3,5,7,7,5,7,7,7
41,5,5,6,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,6,5,5,5,5,1,5,5,6,6,6
42,3,5,6,5,6,4,4,1,2,3,7,5,5,3,2,4,2,4,3,7,5,4,4,3,5,6,1,5,5,5,4,3
43,4,4,5,5,6,3,5,2,1,3,4,2,6,4,3,4,4,4,4,7,3,4,5,5,5,5,7,7,1,7,7,7
44,1,3,4,5,4,2,4,4,3,1,3,4,3,5,2,4,2,2,5,4,3,3,3,4,3,6,7,6,5,5,3,5
45,5,5,6,5,6,5,5,6,5,3,6,3,3,5,3,5,3,5,5,6,5,3,5,5,5,5,3,5,5,6,7,6
46,6,7,7,5,6,6,4,7,6,3,5,6,7,6,5,7,4,7,6,7,7,7,5,3,5,5,2,7,6,7,7,7
47,5,6,7,6,7,6,5,4,6,6,6,6,6,4,5,4,4,5,6,6,5,5,5,5,6,6,7,7,5,5,5,6
48,4,4,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,6,5,5,5,5,5,5,3,5,6,5,5,6,5,5
49,7,4,6,4,5,3,4,4,3,5,6,2,4,4,3,3,3,5,4,2,6,3,6,4,3,6,2,5,6,6,5,5
50,7,7,7,7,7,7,7,3,7,7,7,4,7,3,3,6,4,5,6,7,7,5,7,3,4,4,7,7,7,5,7,7
51,6,5,7,4,4,5,4,4,2,2,1,1,7,5,3,4,5,5,1,7,7,5,3,6,3,3,5,7,7,7,7,7
52,6,6,5,6,7,5,5,3,5,5,4,5,7,1,6,2,3,7,5,7,6,6,6,6,7,7,1,6,7,6,7,6
53,4,4,5,6,7,6,6,7,5,4,7,7,6,4,6,6,5,4,4,7,7,7,6,3,5,7,5,7,6,5,7,7
54,7,6,7,7,7,6,7,7,7,7,7,7,7,6,6,6,5,6,7,7,6,6,7,5,6,6,7,7,7,7,7,7
55,5,5,5,5,5,5,5,3,4,5,5,4,5,3,4,5,3,3,5,5,5,5,6,5,3,4,2,5,5,5,4,5
56,6,5,6,5,6,5,5,5,5,5,5,6,7,4,5,5,6,5,6,7,5,5,5,6,7,6,1,6,5,6,6,7
57,5,5,5,5,5,5,5,7,5,5,6,6,6,4,4,4,4,4,5,5,6,5,5,4,5,5,3,5,5,6,5,7
58,3,3,7,5,5,4,4,4,4,4,3,4,5,4,5,5,4,7,4,7,5,4,5,4,4,7,7,5,5,6,5,7
59,5,5,5,5,4,5,5,5,3,3,5,5,3,5,2,4,3,3,5,6,5,4,5,5,5,5,3,5,5,5,6,5
60,5,4,5,5,4,6,5,6,4,3,5,5,7,6,5,5,5,4,5,6,6,5,5,4,5,5,5,5,5,5,7,6
61,5,5,6,5,6,5,5,5,4,4,5,5,5,4,3,4,4,5,4,7,5,5,5,3,5,5,6,7,5,5,6,5
62,4,3,6,5,6,5,4,4,4,4,7,6,6,4,4,5,4,5,5,7,4,4,5,5,4,5,5,5,5,5,7,7
63,4,5,5,5,5,3,4,3,3,3,3,3,5,4,3,3,3,3,4,5,5,4,5,3,4,4,3,5,5,5,5,5
64,3,5,6,6,5,4,4,3,4,4,3,6,6,6,5,4,4,5,5,6,4,5,4,3,4,5,6,6,3,5,5,5
65,6,7,6,5,5,7,4,7,3,7,7,7,7,4,6,7,7,4,5,7,7,7,6,3,5,3,7,3,7,7,7,7
66,5,5,5,5,5,3,5,2,3,3,5,3,6,5,5,3,3,5,4,6,3,5,4,3,5,5,5,5,3,5,5,5
67,6,6,6,6,5,5,6,6,7,1,5,4,6,4,1,6,4,6,4,7,5,5,5,4,6,7,7,7,6,7,7,7
68,6,6,7,7,6,6,5,5,6,5,6,7,7,5,6,4,5,6,6,7,6,3,5,7,7,6,3,7,5,5,6,6
69,7,3,4,7,6,6,4,6,6,6,5,7,7,5,5,6,5,5,7,6,6,7,5,6,5,6,1,6,5,4,3,6
70,6,6,3,2,2,6,3,7,6,7,5,6,6,7,6,6,5,3,3,1,2,7,6,6,2,1,7,1,1,1,1,1
71,6,5,5,7,6,5,5,6,5,5,5,5,7,4,5,5,4,5,7,6,7,6,6,5,5,6,3,7,7,6,7,7
72,5,6,7,4,4,1,1,1,3,1,4,2,3,5,1,2,1,3,3,7,5,2,2,5,3,4,1,6,6,4,5,6
73,4,5,6,3,5,4,5,5,5,3,6,6,5,5,5,3,5,6,6,7,4,3,5,5,5,4,6,6,5,7,7,6
74,4,5,5,5,5,5,7,5,7,5,4,5,7,5,7,5,4,5,7,7,4,5,4,4,3,5,3,6,3,7,7,7
75,5,4,6,5,5,4,4,5,3,5,5,5,5,3,3,3,4,6,5,5,4,5,5,3,5,6,2,6,5,6,6,7
76,7,5,5,5,5,4,4,3,5,5,6,5,5,4,4,4,3,4,7,7,5,5,5,5,5,4,1,5,5,6,6,6
77,3,5,5,5,5,3,3,3,3,3,5,5,5,3,2,3,3,3,5,6,3,1,5,5,5,6,3,5,1,5,6,5
78,6,5,7,7,7,6,6,7,6,6,7,7,7,4,5,7,6,5,4,6,6,7,5,5,6,5,7,5,5,7,7,7
79,4,5,6,6,6,3,4,2,6,3,6,5,7,4,3,5,6,6,6,7,5,4,5,3,6,7,6,6,6,6,7,7
80,3,4,5,4,5,4,4,4,2,2,6,5,7,4,2,4,3,3,4,7,4,4,3,3,3,5,5,6,2,6,6,6
81,6,4,6,5,4,4,5,3,4,3,5,4,5,3,5,3,3,5,4,6,5,4,5,3,5,5,6,6,5,5,6,5
82,3,5,6,5,5,4,4,7,2,3,5,2,7,3,1,3,1,1,5,6,4,5,2,2,3,5,1,5,3,7,7,7
83,5,7,7,7,7,4,5,5,4,4,5,3,3,3,1,3,3,3,4,6,5,3,5,5,4,5,7,6,6,5,5,6
84,6,5,6,5,5,2,4,3,2,5,5,4,5,2,3,3,3,5,3,7,3,5,5,3,2,5,1,5,6,6,7,6
85,6,3,7,7,7,4,6,1,2,1,7,7,7,2,4,3,1,1,3,7,7,7,1,7,4,7,2,7,2,7,7,7
86,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,4,2,5,4,3,2,2,2,4,5,5,4,5,4
87,5,5,6,5,5,5,7,7,7,5,5,6,5,5,3,4,7,6,6,7,5,6,5,3,5,5,7,7,6,7,7,7
88,5,2,5,4,5,1,4,1,1,1,4,1,4,1,1,4,1,1,3,5,4,4,1,1,1,1,1,6,2,7,7,5
89,4,4,6,4,4,4,6,4,6,3,5,4,4,2,4,3,4,5,6,5,4,3,5,2,4,3,5,5,3,5,5,5
90,7,6,7,5,6,5,5,5,5,6,5,5,7,6,6,5,5,5,4,5,6,6,6,5,6,6,3,7,2,6,7,6
91,6,6,7,6,6,5,5,3,4,5,6,5,7,2,6,7,5,6,4,3,4,5,5,6,5,4,5,7,6,5,6,7
92,2,3,5,5,3,3,3,3,5,3,4,5,7,1,7,1,1,4,5,7,3,3,2,3,5,5,5,6,5,5,7,5
93,5,6,6,5,6,3,4,4,4,4,5,5,5,4,3,4,4,5,4,6,3,4,5,5,4,5,1,7,3,5,6,5
94,5,5,5,5,5,5,6,5,5,6,6,5,5,5,3,3,2,5,5,6,5,3,5,5,5,5,6,5,6,6,6,6
95,5,5,5,5,5,3,4,3,5,5,3,4,6,4,3,7,7,7,6,3,3,5,3,4,4,1,4,4,5,7,4,5
96,5,3,5,5,5,4,4,6,3,2,4,6,5,4,3,5,3,3,4,6,4,5,3,3,5,5,3,6,6,7,7,7
97,3,3,5,5,5,3,5,7,5,3,5,5,7,5,3,5,5,5,3,5,5,5,5,5,2,5,3,3,5,7,5,7
98,3,6,7,5,6,4,5,3,4,6,5,4,7,6,3,6,4,6,5,6,5,6,6,5,5,6,7,7,5,7,6,7
99,6,5,5,5,5,6,5,6,5,7,7,6,7,7,3,7,6,7,5,6,6,7,7,5,5,5,7,6,5,7,7,7
100,6,6,6,6,5,7,7,7,7,6,6,6,7,4,6,6,6,6,7,7,5,6,6,3,6,6,6,6,5,7,7,7
101,5,5,5,5,5,5,3,3,5,5,5,3,5,3,1,5,3,5,3,5,5,5,3,1,5,5,2,7,2,6,7,6
102,6,6,6,4,5,4,5,5,3,3,4,2,5,4,1,4,2,3,5,5,5,4,2,2,3,3,1,5,5,5,5,5
103,5,6,6,6,6,4,6,4,4,5,6,5,5,5,4,4,5,3,5,6,6,5,6,4,6,6,3,6,5,6,7,7
104,6,6,7,6,6,4,4,3,6,5,6,5,4,4,4,5,4,5,5,4,4,6,5,4,6,6,3,5,7,7,7,7
105,4,4,6,5,5,4,4,3,5,3,5,6,5,4,3,3,4,6,6,7,4,3,5,5,5,5,1,7,3,6,7,7
106,6,6,7,6,6,4,5,4,3,3,5,5,7,3,4,3,2,2,6,6,5,4,4,5,6,6,5,7,4,7,7,6
107,5,5,6,5,5,4,5,5,4,5,4,4,5,4,4,5,7,7,4,7,4,3,4,5,5,5,3,5,5,5,5,5
108,3,4,6,6,6,3,3,4,5,3,6,7,4,3,3,3,5,5,5,6,6,6,4,5,5,6,1,7,5,7,7,6
109,7,7,7,5,6,4,4,3,5,6,4,6,5,5,2,2,1,2,4,7,6,4,5,5,6,6,5,7,4,7,6,7
110,4,5,6,5,6,6,6,6,4,3,7,4,6,5,6,6,5,6,4,6,5,5,5,5,6,5,1,6,3,7,7,7
111,7,7,7,7,6,4,4,5,4,5,7,6,5,4,4,4,7,7,6,7,7,7,5,6,4,6,7,7,7,6,5,7
112,6,6,7,5,6,5,4,4,5,6,5,5,7,4,6,5,5,6,6,6,6,4,6,5,5,6,1,6,3,5,6,5
113,3,5,6,6,6,2,5,3,3,3,5,5,6,2,2,3,3,3,5,5,3,3,5,5,6,6,1,7,5,6,6,5
114,4,4,5,3,5,4,7,4,3,3,5,4,6,7,1,3,3,4,6,7,5,4,4,4,3,4,1,5,4,6,7,7
115,3,5,5,5,5,5,4,3,3,3,3,5,5,3,3,5,3,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5
116,6,5,7,5,7,2,2,1,5,5,1,7,7,5,5,5,1,7,3,7,1,1,5,7,5,7,1,7,1,7,7,5
117,6,6,5,5,4,4,5,5,5,6,6,5,5,5,6,6,5,6,5,5,5,4,5,5,6,5,5,5,5,5,6,5
118,6,5,6,5,5,3,5,7,3,5,5,3,7,3,6,1,1,2,4,5,3,3,5,5,5,4,1,3,1,5,6,7
119,5,5,6,5,5,1,2,1,2,2,3,1,3,3,2,2,2,5,3,5,5,3,3,3,3,3,1,7,3,4,5,5
120,3,5,7,5,7,4,5,1,3,3,4,4,5,1,2,3,1,7,4,1,6,3,4,5,2,3,1,7,2,6,7,7
121,6,5,6,5,5,5,4,3,4,5,5,5,1,1,3,4,2,6,4,6,4,3,5,5,5,5,1,6,5,4,5,5
122,6,6,7,5,5,4,5,3,5,4,4,4,5,4,5,4,4,5,4,5,4,5,4,3,4,5,5,5,5,4,5,5
123,6,4,7,5,5,4,4,4,4,5,4,6,5,3,4,3,3,3,3,5,5,3,5,5,5,6,6,5,5,5,5,5
124,7,7,7,7,7,6,6,7,6,7,5,7,7,7,7,7,7,7,3,7,7,3,6,6,7,7,1,7,5,4,4,7
125,6,5,6,7,6,4,6,7,5,6,5,5,6,5,5,7,7,7,4,7,7,5,5,4,4,7,6,7,7,6,6,6
126,7,5,5,5,5,7,5,2,6,5,7,6,7,4,7,6,7,7,6,7,6,7,6,5,6,7,2,5,5,7,6,6
127,7,6,7,6,7,6,4,5,6,6,6,5,6,6,6,5,4,5,6,6,7,6,5,4,6,7,2,5,2,6,7,7
128,6,6,7,7,7,5,6,4,7,6,6,7,7,5,6,4,6,4,5,7,7,6,6,5,7,5,7,7,6,6,7,6
129,3,5,7,5,5,3,5,3,3,5,5,5,5,6,5,3,3,5,7,7,5,3,5,5,5,6,7,6,4,7,5,5
130,2,5,5,5,2,3,3,2,2,2,5,2,3,2,2,5,2,5,5,6,5,6,6,2,1,4,5,6,6,6,7,6
131,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,6,5,5
132,5,5,7,6,5,5,6,4,3,5,7,5,7,4,5,6,5,7,7,7,7,7,7,5,7,6,1,7,7,7,7,7
133,5,5,6,3,5,5,6,6,5,6,6,4,5,6,5,5,6,5,4,6,7,5,6,4,3,5,6,6,6,6,6,6
134,5,4,5,4,4,4,5,7,4,3,7,3,7,1,1,2,1,3,4,7,5,4,4,3,5,5,1,5,4,6,6,7
135,2,1,4,4,4,3,4,3,1,1,3,5,4,2,3,4,3,5,5,7,4,3,4,1,2,5,5,6,5,5,3,4
136,7,6,7,6,7,5,4,3,5,5,7,3,6,7,3,3,3,3,7,7,5,3,5,5,7,7,1,6,5,7,7,7
137,5,4,6,5,5,5,4,4,2,4,5,3,4,2,1,5,4,4,5,6,7,4,4,4,4,5,1,6,5,7,7,6
138,4,4,5,5,6,4,4,4,5,5,4,4,7,7,4,4,5,4,6,7,5,5,5,5,5,5,7,5,6,5,6,6
139,3,4,5,5,5,3,3,3,4,3,3,5,3,5,3,3,3,2,5,5,5,3,5,3,5,5,1,5,5,6,6,6
140,7,7,7,7,7,7,5,4,5,7,7,7,7,7,7,5,5,7,7,7,6,7,7,7,7,7,4,7,4,7,5,7
141,6,5,6,5,7,7,5,5,5,5,6,7,6,4,6,7,6,6,6,7,6,6,6,6,5,5,7,7,7,7,7,7
142,3,4,6,5,5,3,5,6,4,3,4,3,5,3,5,5,3,5,4,6,5,3,6,6,4,5,3,6,3,5,5,5
143,6,5,7,5,7,2,2,2,5,6,4,5,3,4,1,2,1,3,6,7,5,2,5,6,5,6,1,7,2,7,7,7
144,6,5,7,5,6,6,7,6,6,6,6,6,7,7,6,5,5,5,5,7,6,6,5,6,5,7,7,6,6,6,6,6
145,6,6,7,5,6,1,2,1,4,3,3,4,6,3,4,2,1,5,5,7,3,3,2,4,4,7,1,7,1,5,7,5
146,3,5,7,6,5,7,6,7,5,5,7,7,7,5,7,5,6,5,6,7,6,7,6,6,6,6,3,6,5,5,7,7
147,2,4,4,5,5,5,4,4,5,3,5,4,5,3,2,5,4,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5
148,5,5,5,6,6,5,5,5,4,5,5,5,5,5,4,5,5,5,5,6,6,4,5,5,4,5,6,6,5,5,6,6
149,3,4,4,5,5,3,3,4,4,5,5,4,2,3,2,3,5,5,3,6,5,5,3,5,4,5,3,5,5,6,6,6
150,7,7,7,7,7,6,6,6,6,6,7,7,5,5,5,5,4,5,4,7,6,6,6,7,7,6,3,7,1,7,7,7
151,5,5,6,6,6,5,4,1,4,3,3,7,6,2,4,4,3,4,5,7,4,4,3,1,6,4,7,7,7,7,5,6
152,7,6,7,7,7,7,7,7,7,6,7,7,7,6,6,5,6,4,7,7,7,7,7,7,7,7,4,7,6,7,7,7
153,6,6,7,5,6,2,4,1,2,3,2,1,6,1,3,2,5,7,4,7,5,5,6,3,5,6,1,6,5,5,6,5
154,5,5,6,5,5,4,5,5,4,5,5,4,5,4,3,4,4,5,5,6,5,5,5,6,5,5,3,5,5,6,5,5
155,7,5,7,7,7,7,7,6,6,7,7,7,6,5,3,7,6,6,6,4,7,6,7,7,5,6,5,6,7,7,7,7
156,5,5,5,5,6,6,5,7,6,6,7,7,6,6,7,7,6,5,5,6,7,4,5,6,3,5,1,5,6,6,5,7
157,5,4,5,3,5,3,5,4,5,4,5,5,4,4,2,5,5,6,4,6,4,5,4,3,4,5,6,6,5,5,5,6
158,5,3,6,4,5,3,4,2,4,2,4,3,1,1,1,2,1,3,5,7,3,2,5,6,4,5,1,6,3,6,7,5
159,7,7,7,6,6,5,5,6,6,5,5,6,5,3,3,4,5,3,5,7,7,3,5,3,5,7,6,6,6,6,7,6
160,5,5,5,5,5,5,4,3,4,5,5,5,5,4,3,4,3,3,4,6,4,4,5,5,5,5,5,5,5,5,4,5
